iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
PAK,Pakistan,1.507256531835604,49,0.212264156341553,0.198113212585449,0.55,5,0.7142857142857143,1,0.608281270820624,0.2773965858424076,0.4637511933054329,0.7318755966527164,82,0.615451832921218,2.4490243609828406,78,-29,0.8197202615690091,1.838744999361851,74,-25,0.65369521704013,2.305748141557955,71,-22,4,8,11
ISR,Israel,1.5083282284208954,50,0.773584899902344,0.844339599609375,0.98,5,0.7142857142857143,1,3.15712318737314,0.6779871493876508,0.9115700427672512,0.9557850213836256,23,0.9317113832459054,1.6188792533221676,23,27,0.9203363924967892,1.6388879552279114,38,12,0.8582549160937125,1.7574361651034245,25,25,0,-15,-2
ESP,Spain,1.508551931367127,51,0.78301887512207,0.745283050537109,0.95,6,0.8571428571428571,1,2.89981565316893,0.6393914420521427,0.9244388615072116,0.9622194307536058,18,0.8864573779542448,1.7017760457344764,35,16,0.9385773759102174,1.6072749781595335,26,25,0.8392581905369396,1.797482524897359,30,21,-17,-8,-12
MYS,Malaysia,1.508625408997365,52,0.674528274536133,0.731132049560547,0.95,5,0.7142857142857143,1,1.97990062716743,0.48961773624854504,0.8208901220488176,0.9104450610244088,38,0.8802112768977437,1.7139355613738925,36,16,0.9060475846882856,1.665062006115704,46,6,0.770400266619744,1.9582358344925077,42,10,2,-8,-4
THA,Thailand,1.5091571199563734,53,0.575471687316895,0.570754699707031,0.85,4,0.5714285714285714,1,2.00183400496619,0.49327806599427904,0.7206861448768664,0.8603430724384332,48,0.8029457854395041,1.879525551193116,51,2,0.8508709539111493,1.7736615793726629,65,-12,0.7676152618021812,1.966033239637817,44,9,-3,-17,4
BEL,Belgium,1.5107084114918514,54,0.882075500488281,0.8584906005859381,1.0,6,0.8571428571428571,1,-0.652181403274145,0.14196473357768497,0.9744419543426704,0.9872209771713352,9,0.9391826927767124,1.6085351903423728,18,36,0.9542280652816879,1.5831733172151992,19,35,0.5951312942513047,2.538445593576748,79,-25,-9,-10,-70
SRB,Serbia,1.5133039468854175,55,0.514150924682617,0.5660377502441409,0.8,5,0.7142857142857143,1,6.06995232091603,0.936406169393183,0.6705634087532556,0.8352817043766279,60,0.798093213696954,1.8961493731733923,55,0,0.8780694960997005,1.7234443897748033,58,-3,0.9572757058219059,1.5808444084414657,10,45,5,2,50
SAU,Saudi Arabia,1.5188678547651042,56,0.627358474731445,0.688679275512695,0.95,5,0.7142857142857143,1,1.87131032249407,0.4715197369106195,0.7770708445513121,0.8885354222756561,43,0.8613624374571107,1.7633318899406178,40,16,0.9014056900447962,1.684999186869591,50,6,0.761880667907735,1.9935771030077398,47,9,3,-7,-4
LUX,Luxembourg,1.5191198053887258,57,0.976415100097656,0.990566024780273,0.98,6,0.8571428571428571,1,-10.4511316835125,0.00023819993815571793,0.9544407555362122,0.9772203777681061,14,0.9944869442762009,1.5275412252841176,7,50,0.9670443591581044,1.5708894747199091,13,44,0.501404927507248,3.0297265185268176,80,-23,7,1,-66
MDA,Moldova,1.5199493842745724,58,0.471698112487793,0.547169799804688,0.75,4,0.5714285714285714,1,2.15951089914844,0.5195891973802058,0.6204228042204991,0.8102114021102496,67,0.7868355625104213,1.9317243102550303,59,-1,0.8417994319051452,1.8055956403233138,70,-12,0.7744986987745814,1.9624944324366838,43,15,8,-3,24
